Signal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Label
51,37,23,1464692,82891,20645,26825,9904,7451,5517,2024,
0,50,24,3498148,566115,93364,74872,88373,167042,28818,35800,
51,50,24,385910,53424,9256,9469,6237,7529,2802,1714,
26,50,24,1574281,29632,30619,22549,16939,9489,5233,5222,
26,50,24,85990,17906,4231,7474,2906,2792,1384,492,
51,50,24,1267898,60686,43994,55116,35225,25413,5983,3731,
51,50,24,870128,117313,76900,61588,39740,38718,5335,3973,
25,50,24,1545218,7977,20584,7513,13202,18114,2866,2594,Forward
0,54,48,44995,4360,1349,2045,1107,1536,525,276,Forward
0,54,63,422201,89987,16901,47370,24002,16288,6320,1330,Forward
0,60,77,1839082,94426,93006,272857,64294,67717,19977,2934,Forward
0,51,87,287411,72631,33411,7936,9544,12708,4516,4664,Forward
0,51,81,792470,340338,173811,43657,62457,101300,15494,20885,Forward
0,51,83,726578,167178,154751,16325,53742,39764,27934,6728,Forward
0,44,69,81795,93772,32878,39430,11850,14019,5286,2072,Forward
0,50,70,1919671,302436,62479,188582,94678,95400,18208,10446,Forward
0,47,88,903821,37866,19605,84175,22755,16786,5359,1821,Forward
0,56,80,552248,43873,12500,26166,30918,26827,2415,795,Forward
0,66,74,2657075,148206,54408,54423,89070,55317,21521,4660,Backward
0,64,78,672982,148251,108664,31322,25187,35305,13703,5622,Backward
0,57,81,1856150,94626,177458,107765,59369,27743,25399,11908,Backward
0,48,87,895985,55382,37984,13897,23181,12496,3891,1698,Backward
0,44,81,187658,69310,23590,5061,14356,15041,2229,2964,Backward
0,48,83,640713,48420,34982,46374,32925,24271,4251,2334,Backward
0,51,66,1521957,189438,114005,57616,108139,40010,14472,6749,Backward
0,50,81,1799987,44434,151574,214684,104796,40468,11660,6445,Backward
0,43,100,1701947,106972,86696,94558,41029,23043,22311,4526,Backward
0,47,100,762835,9258,24955,44257,29698,17134,1737,2477,Left
0,50,100,722016,36286,23308,13865,15809,12203,2202,1807,Left
0,56,93,502329,27469,15696,27845,13238,13225,6330,696,Left
0,60,75,42217,28244,6679,3484,2680,4101,567,539,Left
0,50,47,1159901,174631,16898,13712,14178,17335,7183,1101,Left
0,51,40,322034,177476,49651,54775,40258,56941,4081,5874,Left
0,44,35,1437937,207075,117884,74785,62802,38318,17494,7181,Left
0,53,44,3106809,121832,88390,62625,96423,65210,14299,9845,Left
0,56,74,914369,123831,129995,129345,54027,47854,10386,3905,Left
0,56,81,1124979,49275,30868,23363,20660,16887,5297,540,Left
0,56,90,625704,33534,38963,32340,18195,10534,6921,2026,Right
0,43,75,480611,207816,25077,21761,14941,16107,5342,1975,Right
0,37,77,2070059,110630,148478,160839,85791,30236,16564,4371,Right
0,43,69,716336,30793,17414,11984,28629,20002,4000,2203,Right
0,44,66,938947,34564,24467,24827,12840,10914,3663,2724,Right
0,54,91,422488,42041,56899,46581,20141,21844,5641,1063,Right
0,63,70,919684,213608,68247,30260,65339,57282,9160,3724,Right
0,57,75,1452594,182897,69113,103030,71465,65417,10678,3952,Right
0,66,78,1805456,72256,157484,70177,68234,86927,15590,3748,Right
0,64,74,2127828,201707,132820,118078,50967,54255,14989,6185,Right
0,63,90,3371654,174112,225124,121705,73460,79136,27169,6361,Up
0,61,100,878122,11170,29214,25581,16926,12004,5098,1124,Up
0,51,100,499474,17466,20050,27666,21541,7281,3395,880,Up
0,54,100,2178148,210223,115124,112016,79971,68148,14451,3399,Up
0,63,80,908053,25413,8691,7949,26307,14069,7791,1547,Up
0,66,69,884313,22577,13611,25322,18219,15697,3554,694,Up
0,70,63,621338,213259,148812,65834,99412,78883,25500,3231,Up
0,81,57,2486945,116703,104590,121811,239438,128941,19159,3930,Up
0,74,78,2301907,248325,174834,353124,135507,120518,32081,6426,Up
0,66,64,1396398,233591,72287,9000,32541,38531,12585,8777,
0,66,61,1191520,43094,20141,35678,56600,17314,3748,1174,Down
0,66,66,941053,16764,8468,23522,16307,16105,4443,969,Down
0,56,40,869896,194183,21113,17155,25849,14803,3054,1062,Down
0,61,61,1012297,17804,31436,53366,29606,20734,2236,683,Down
0,56,57,944413,56204,17058,20150,42317,11058,4375,742,Down
0,54,57,147221,8614,7841,5886,6587,6865,775,323,Down
0,75,78,139262,4990,3681,12011,9771,8687,1462,184,Down
0,77,75,2386192,79271,152967,98192,89782,82182,12991,4506,Down
0,90,81,796044,16162,8252,32060,28752,22209,5209,1028,Down
0,78,90,999172,131904,227514,30632,38026,40692,13418,5822,Down
0,69,96,1088613,99777,200133,75464,74655,62756,8843,8415,
