Signal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Label
0,43,57,1380073,202667,59228,69242,52896,56403,11770,4298,
0,34,43,1022027,105264,16125,8498,7443,8320,2750,1244,
0,44,53,1113276,87976,50730,10606,18863,32319,6375,3808,Forward
0,56,41,257226,13041,1580,6006,3115,5045,3857,886,Forward
0,56,43,608132,69490,10229,42235,23212,18477,16709,6482,Forward
0,57,54,998130,430755,128847,167727,50017,55859,15639,8358,Forward
0,54,51,93919,28756,3368,8159,4291,6398,964,1156,Forward
0,53,51,850423,102627,20724,30764,12188,28868,9945,3705,Forward
0,48,48,883794,156972,43238,22508,15352,24242,12011,2877,Forward
0,69,44,1606344,37108,23394,11188,6381,43657,12918,4520,Forward
0,77,40,364196,378520,22545,94675,82582,149857,74635,25105,Forward
0,69,23,1840649,332616,6241,31124,19135,36556,8914,4503,Forward
0,74,27,590547,159652,45846,71114,13409,48823,14588,5855,Backward
0,64,27,1513432,84073,17823,52301,29481,39994,8548,5289,Backward
0,53,40,1037037,147263,68597,21260,33078,25862,4608,5731,Backward
0,63,56,733184,49313,19080,13120,21583,18291,8901,2588,Backward
0,51,47,801180,66312,11610,10511,12203,4221,1496,961,Backward
0,50,51,971001,54460,35831,37819,16145,30421,6486,5036,Backward
0,63,41,3297289,372012,45342,54480,32711,168458,42307,21366,Backward
0,63,43,583335,56795,31621,24803,35169,25565,5392,990,Backward
0,87,53,338574,26007,28466,6087,11295,28166,4273,6649,Backward
0,88,40,403351,73446,8036,28393,20596,30197,10613,4580,Backward
