signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,70,27,1671170,118740,7139,142484,79537,46918,29478,12561,None
0,74,38,653642,85126,36662,35527,12685,29347,23796,9212,None
26,74,38,1216766,79863,15575,9971,9870,5605,2873,1067,Up
0,81,50,354574,11659,4790,5933,8562,3502,1579,365,Up
0,61,48,695290,491893,11390,17261,71961,24296,13999,4594,Up
0,41,38,1397857,445169,19592,100461,19243,13011,11211,8029,Up
0,29,38,277044,49753,27324,9675,10493,5482,1926,2078,Up
0,38,40,1546999,27796,21331,27179,26188,28869,9592,10469,Up
0,57,60,164363,39501,12273,11785,6624,18058,6070,5395,Up
0,74,69,190908,43410,18506,17560,4444,7288,4973,3201,Up
0,78,69,1844462,67689,68736,34694,103499,17004,13801,7908,Up
0,66,70,705543,20450,10048,8523,5721,4361,1091,1672,Up
0,61,74,2675642,207180,139153,43826,171944,72724,48376,10362,Up
0,67,67,647259,8332,3617,3485,5957,2709,1790,1553,Up
0,67,66,787780,434089,27471,228425,42743,66194,38079,38340,Up
0,63,47,384084,167230,11559,9011,69516,13851,17429,6859,Up
0,61,26,596254,171642,14171,2569,62550,29207,10586,10403,Up
0,60,35,451614,240396,311251,43571,46439,93279,62970,36253,Up
0,60,27,1219057,516954,67947,77241,65183,70535,25811,34868,Up
0,61,47,1966375,470746,246765,64331,97143,60380,18220,14157,Up
0,50,69,614651,369167,141491,135655,60120,34071,25498,28706,Up
0,54,56,1328735,120198,27268,24167,26758,38709,23125,5135,Up
0,53,70,219185,28762,32504,3209,2597,6289,8158,1491,Up
0,57,66,480362,136441,33262,32950,52805,23770,31187,53137,Up
0,60,54,1052364,184885,38097,13031,57683,16885,21896,9868,Up
0,54,56,884197,100281,24840,14225,7640,19290,13704,3592,Up
0,56,40,1617836,820853,79756,108180,129942,115363,33971,38090,Up
0,51,47,725318,77841,53033,8433,7055,9353,10197,5017,Up
0,57,66,912863,55833,156413,29590,44845,34634,20956,5445,Up
0,56,67,259860,148943,31158,51438,47219,28405,18561,17410,Up
0,61,80,1378842,196273,129047,47024,90926,64039,45914,55515,Up
25,61,80,283439,209697,49331,47328,31124,36016,16919,6145,Down
0,63,75,2144750,1372437,75429,647961,242535,176551,75642,107986,Down
51,63,75,479100,62725,56962,46255,39823,42649,9894,6249,Down
51,63,75,701921,546011,89952,378310,313433,406141,229804,146740,Down
0,54,74,1705979,50983,43254,38854,12352,10057,11328,1726,Down
0,54,77,893981,124734,47757,38708,10497,23437,8065,11381,Down
0,38,67,68842,66750,11483,2155,2685,2864,2953,2102,Down
0,34,70,516033,32109,17180,9702,10907,2967,1268,2937,Down
0,48,43,1201263,171531,20048,8155,133248,58520,25836,20615,Down
0,53,40,479266,17210,7775,2155,2099,4933,2287,1389,Down
0,63,60,885404,92648,85242,146577,59607,30131,37584,12898,Down
0,66,44,662331,248529,4393,30128,9956,20389,8704,3539,Down
0,54,60,262208,71873,15953,10866,5232,8565,4453,6001,Down
0,48,66,1553716,67313,83108,17603,28460,15673,13262,13339,Down
0,37,53,945747,482138,121966,58155,24511,23576,24419,23861,Down
0,30,60,414047,126033,7989,26793,14125,6341,12887,9302,Down
0,29,57,255180,34970,9313,4928,7800,3647,16477,2694,Down
0,26,38,26478,12295,367,1214,684,933,1100,766,Down
0,41,34,401481,24048,6261,1171,4183,5013,1400,2212,Down
0,47,30,483533,109813,18012,9203,19934,9102,5357,1723,Down
0,44,27,127507,49430,11293,5067,18539,4477,2809,1633,Down
0,54,35,1734553,190367,36262,31413,91016,46572,24561,7146,Down
0,61,30,331731,165697,10602,29277,14666,57438,21148,5913,Down
0,67,41,94698,22309,14838,2752,7700,4356,4059,5818,Down
0,70,50,807953,25271,17933,4193,7348,4572,3433,5209,Down
0,67,50,38684,61681,8331,9956,13269,8290,2364,2201,Down
0,64,56,687745,202982,54962,37681,35108,68694,15626,16316,Down
0,70,61,151590,11568,16975,5504,6673,8131,3949,3183,Down
0,50,44,101584,66358,1625,5313,2103,719,2397,1133,Down
0,51,51,1714556,184486,72267,41398,11744,39380,19252,11310,Down
0,56,50,1061660,35357,10613,11200,37093,17537,15403,5655,Up
0,48,43,1826202,65082,11929,26268,17923,11147,6878,4029,Up
0,69,53,1256522,62674,17988,3797,7273,7535,8281,4204,Up
0,67,54,250977,54703,6745,34387,17331,8567,4128,1101,Up
0,51,63,586363,154182,30580,90743,41783,19353,19029,6264,Up
0,51,61,989440,51579,13263,12979,7779,7541,1983,1433,Up
0,47,67,166099,69735,29102,8954,3043,6270,5785,3698,Up
0,51,63,777679,318492,55151,132548,169978,74470,36835,21522,Up
0,50,67,626716,87005,65331,50671,16017,12195,9835,4339,Up
0,51,57,624101,438470,34598,37239,65763,60249,34773,14773,Up
0,60,60,93363,19856,14766,3178,6996,5630,1970,2373,Up
0,54,61,973051,135037,37963,25940,13877,20279,13213,8298,Up
0,67,51,320121,49335,16863,13221,16201,15212,4465,2555,Up
0,66,64,319199,21166,4906,10011,6755,3463,3815,1374,Up
0,66,54,474875,47239,9703,4127,6668,8208,7174,5208,Up
0,61,53,146931,76644,8317,25955,15889,6679,10690,7331,Up
0,54,51,1755875,421591,66126,125435,63525,54887,67721,28405,Up
0,44,29,627724,168088,1578,8143,12229,6598,13830,5712,Up
0,50,38,583685,214309,105560,31580,65544,77662,19631,13511,Up
0,56,34,2112633,236243,68258,9218,48977,39848,23455,9053,Up
0,63,34,210591,17143,5355,2762,4669,4215,10955,3959,Up
0,77,41,131668,13424,702,1131,997,2172,2233,663,Up
0,67,38,360042,109516,28976,13958,17529,13385,8221,4161,Up
0,60,38,3519733,1547934,374396,101197,273152,125538,113470,29250,Up
0,51,38,375867,98427,19805,25265,20025,10163,11039,6226,Up
0,53,61,701809,47257,100320,22649,46969,32502,38375,19657,Up
0,50,43,386783,121373,2699,4363,5380,8050,1762,3930,Up
0,60,51,342812,28816,20595,4835,4725,8304,4662,2815,Up
0,54,41,1028619,1040552,109959,51553,61858,50199,30737,22600,Up
0,53,30,1304978,76380,27536,9810,11793,16811,12334,9529,Up
0,57,51,2012714,125012,32701,26102,23084,20220,7959,5583,Up
0,57,44,2768935,293636,63809,88347,149207,71765,25883,16169,Down
0,67,51,816269,257612,31104,55683,34671,36576,32888,16988,Down
0,67,60,1217550,85152,121553,23079,31689,42464,19114,3823,Down
0,61,60,350867,274754,96535,18478,34020,21741,10282,5055,Down
0,50,61,675761,389918,131769,9168,34409,27689,26046,13676,Down
0,63,67,1003839,62049,27209,57915,33428,54966,35607,38922,Down
0,61,70,112681,22133,46719,1133,4745,10568,3181,2499,Down
0,74,64,185479,24307,2880,3776,3364,6163,2967,3632,Down
0,87,69,1950203,492781,243129,73919,26838,133436,64569,19908,Down
0,80,67,2179800,197997,101703,70799,90181,66678,26072,11378,Down
0,70,53,2001577,181820,14210,47096,35790,17039,14744,5261,Down
0,63,56,1905279,294522,34568,71892,25287,28681,20730,13771,Down
0,57,57,209964,13809,6213,6033,2369,2870,5003,1766,Down
0,47,66,293516,7515,8238,11913,8334,1680,1340,1649,Down
0,43,69,667903,163103,46450,17546,16850,11160,8765,7003,Down
0,57,75,381789,71622,6660,74906,50355,52276,13685,16488,Down
0,61,70,598785,506019,204780,196119,309832,143681,90138,57159,Down
0,57,48,735831,172629,9799,8978,12207,8243,19145,2198,Down
0,67,47,184703,297807,67818,50881,20552,47043,17451,4930,Down
0,51,47,2107343,392930,102511,269504,351035,45706,31097,20491,Down
0,40,48,621608,59394,29159,4795,4642,5112,2548,3510,Down
0,47,53,1368008,1169346,152675,80212,122426,129397,118696,35833,Down
