signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,50,38,684163,171018,12782,46684,82581,34580,52264,36364,None
0,57,35,917890,65378,18406,17125,25049,16826,21445,15824,Up
26,57,35,1018216,147528,75873,13310,75374,63496,17005,12239,Up
0,50,37,1120170,369518,65599,48918,67615,28657,22859,19641,Up
0,43,38,216934,307850,41235,57335,54567,59213,24513,19058,Up
0,54,54,1244771,75519,85192,210823,99879,135143,50098,31444,Up
0,57,54,2161297,193044,57121,96111,155967,80434,54537,23163,Up
0,66,51,173913,195732,18868,26827,46536,25458,15254,5746,Up
0,66,64,778670,142404,130395,67734,23420,49225,34207,25601,Up
0,63,54,1759229,136079,27164,60310,26847,62400,30842,12773,Up
0,64,56,1284654,231848,186115,54775,182320,116450,61453,45855,Up
0,74,54,877316,482953,58866,27734,67832,114052,20824,20046,Up
0,66,50,701435,207341,177226,25458,81515,38825,47839,20736,Up
0,47,50,1098131,837869,197985,267922,243939,76090,181543,40187,Up
0,40,34,154317,22046,1070,1147,2665,3334,2079,1421,Up
0,29,43,2349624,162646,40369,29400,43079,23535,28629,7903,Up
0,29,34,90062,300008,34233,50238,34534,36107,49829,15329,Up
0,47,23,901176,330931,46978,50800,135357,100339,48542,36470,Up
0,47,40,863956,255850,87457,51904,72038,59011,45988,29212,Up
0,61,34,198034,76577,3799,21786,42067,28213,15210,4148,Up
0,66,51,1231152,86996,195204,32713,46484,46387,124532,13606,Up
0,74,51,580929,383295,41941,85044,162709,193200,32462,27035,Up
0,75,61,1539060,266833,320501,142537,130771,124810,31735,18165,Up
0,61,53,932703,663819,49669,27775,156995,72443,76001,19918,Up
0,54,34,878616,742250,62788,110149,85134,82397,44443,32595,Up
0,47,37,1259887,233552,47963,21078,64392,55378,54868,24291,Up
0,40,17,817667,688009,60024,73361,66443,97936,41542,24960,Up
0,43,38,780732,92137,13823,64136,14306,18639,8117,8063,Up
0,48,44,1672849,263341,52151,96951,71739,61216,33189,13115,Up
0,47,51,711395,213222,99418,19073,18580,55173,55907,17778,Up
0,53,56,1773089,578593,22528,162529,89021,128346,56930,40530,Up
0,57,38,912997,300109,14637,46552,133903,62728,22446,20470,Up
0,57,29,1470304,451600,84622,29245,68803,83673,124274,27930,Up
0,67,29,155920,55942,28027,28759,35241,36255,18390,7844,Up
0,83,23,196827,50381,5159,9790,31303,33818,7124,6576,Up
0,74,47,132686,65778,68431,5822,8276,13082,7756,8858,Up
0,66,41,175656,558962,64727,9907,57720,53096,25416,18646,Up
0,48,38,760213,173459,72276,17953,79354,26480,17033,13807,Up
0,34,47,847703,169960,36748,30530,75103,40556,46226,5435,Up
0,44,43,1119236,16341,22851,10656,17064,11956,9949,7157,Up
0,60,56,305074,56068,24522,8045,18848,22399,9465,5138,Up
0,57,47,281213,60163,3200,6033,10640,6053,2624,3366,Up
0,40,43,275493,119102,11380,17042,19528,6351,9301,9671,Up
0,47,37,617217,105814,30256,69537,58244,65903,55463,21678,Up
0,40,38,409110,44838,17021,8106,7684,11695,4608,4731,Up
0,51,44,330734,52418,8241,10214,12963,12642,6227,1904,Up
0,51,37,1094244,497622,14070,37591,99224,24671,24001,11231,Up
0,38,30,1642751,316691,89906,29790,52194,53536,14660,18560,Up
0,20,21,162969,178813,12200,16364,9843,8989,9990,9147,Up
0,29,16,854804,83331,19762,8945,76101,37014,16474,11297,Up
0,50,34,121099,32581,8708,18244,25564,11665,4644,4195,Up
0,54,47,315437,41319,38174,40184,19134,20935,13493,4467,Up
0,67,38,576353,164707,5048,9179,41553,20888,9242,8051,Up
0,57,50,431059,131284,39217,58571,30579,33952,13282,11470,Up
0,53,41,192872,36326,3256,4994,10368,5729,4032,986,Up
0,56,26,640459,13213,4038,4766,14839,4744,2264,1636,Up
0,63,47,552395,233629,73293,62046,45635,65716,15856,7161,Up
0,61,53,936338,61616,81903,26293,24458,25294,9822,8418,Up
0,50,64,496089,426448,190104,51978,12293,37450,52680,30839,Up
0,35,64,975666,186510,40328,22083,37085,19817,7818,5913,Up
0,23,54,840901,1836196,313712,111602,528074,195454,215620,80027,Up
0,23,53,753768,79239,90330,24525,39989,28431,33776,19643,Up
0,37,56,172198,15995,6491,10134,2142,5196,3023,1312,Up
0,35,53,199525,232466,36185,17360,29667,17991,9399,1606,Down
26,35,53,703018,17120,8617,11058,7273,3816,2763,595,Down
0,30,57,342963,930958,133001,136706,74881,78559,24984,21072,Down
0,21,56,720902,271380,105259,108760,22978,36647,18767,26515,Down
0,17,54,239174,31037,13287,16624,9833,6679,4086,3174,Down
0,35,63,1952650,50026,42917,10046,39213,24373,19080,6023,Down
0,48,70,1512714,60521,40768,8428,12669,19510,8978,8174,Down
0,51,57,2041641,697012,133238,18736,122189,76757,39752,28598,Down
0,50,47,951391,78161,10475,7968,9613,9570,7501,5978,Down
0,54,34,693091,67036,7405,7392,24579,26091,12614,3552,Down
0,54,27,111516,25056,2723,11178,7353,7028,1602,1503,Down
0,47,48,2837845,277223,307010,135173,78366,33069,29485,45466,Down
0,38,48,470875,1424798,172572,151603,73716,92158,108234,43845,Down
0,24,64,541996,140512,109336,6062,17523,32422,33102,17184,Down
0,21,64,194977,81582,35664,10432,21788,17388,12381,6485,Down
0,27,41,906918,724211,25240,85195,79843,64757,41170,27495,Down
0,40,51,830690,228924,102180,51244,28012,48448,18771,15947,Down
0,34,50,938177,149226,26181,70932,20306,22366,26144,18934,Down
0,24,34,1734519,262496,6271,21121,66198,19645,43828,12268,Down
0,43,54,1474625,50043,80332,54863,13689,65320,29002,17906,Down
0,51,56,1583470,158027,105761,44487,64245,65552,14678,5715,Down
0,50,48,857314,199049,18845,32878,14345,17083,4446,5769,Down
0,69,57,65253,19087,1122,6927,9684,9056,3564,1418,Down
26,69,57,697795,27014,2864,5023,18503,7246,2393,1816,Down
25,69,57,1109714,50102,47052,15343,22769,15801,7636,6723,Down
0,50,41,171598,148575,35584,8302,24437,13571,7823,5244,Down
0,40,40,676422,113465,37498,33707,14798,22173,3859,3780,Down
0,40,40,2466327,1672475,212225,295455,322653,144185,100465,66670,Down
0,37,51,2091693,154505,36581,175846,66932,92651,10236,10840,Down
0,27,41,637150,265303,4843,19668,6139,13016,10313,6435,Down
0,37,35,1435545,356304,50979,73152,52197,98494,44648,8973,Down
0,54,38,629880,28636,10456,4721,9818,10557,5212,1830,Down
0,35,26,1272706,287460,32370,27726,12214,17853,9108,6761,Down
0,43,37,436985,14717,5332,1185,13286,1804,2083,1424,Down
0,26,40,381874,84645,10181,22055,6538,6959,7481,4859,Down
0,21,34,305464,36028,9248,1352,12574,7208,3439,5184,Down
0,37,41,1406324,182090,53280,52800,12073,47305,26719,10980,Down
0,37,50,78022,95281,45873,9049,11255,13429,6731,3071,Down
0,43,47,962269,565896,104712,63270,31480,67353,23714,18707,Down
0,34,40,1407992,378994,23491,30581,78969,33871,31884,22636,Down
0,14,51,646456,47174,48451,13498,5078,4174,9963,2222,Down
0,13,48,751202,523728,148035,67373,48651,54308,23615,49211,Down
0,16,56,1144815,148847,74561,49535,47969,33233,24465,8910,Down
0,23,67,890924,134420,28000,26714,28139,25986,25889,7217,Down
0,38,51,232608,213933,54046,17576,32830,34938,7693,19676,Down
0,37,53,675718,108471,26334,36142,33511,12264,10501,9405,Down
0,27,48,277621,52418,17709,8615,8537,5324,3997,2421,Down
0,20,63,379698,76173,139087,17391,34761,16262,6758,5806,Down
0,1,61,1929114,1353052,81017,234860,106326,46020,56052,22514,Down
0,1,60,806676,265818,132571,21796,137855,26653,29541,11111,Down
0,1,56,2900738,3573624,659436,544138,995316,212914,124685,61089,Down
0,1,38,721374,97770,1189,30499,23772,12328,13358,8167,Down
0,21,56,858817,161102,56072,213076,12228,76227,58118,19322,Down
0,37,60,530867,61945,27026,49498,43829,27594,22804,7045,Down
0,30,57,1983041,1047450,90990,140261,28808,39900,44453,14938,Down
0,40,69,296049,14621,20318,11639,23679,7227,10103,3640,Down
0,30,57,203871,119315,44633,16342,31001,17286,11717,11126,Down
0,21,64,25064,8175,6054,5199,2085,1804,2491,1620,Down
0,38,77,235588,40901,3941,34744,6702,8850,6442,3630,Down
0,34,70,467636,43305,12063,11413,5926,7499,5947,1803,None
0,34,61,1669334,218282,29418,15349,23712,26729,19416,12053,Up
0,43,50,979769,202260,40360,45648,50053,59716,23109,23977,Up
0,26,34,1569084,1952909,85852,233484,67841,71029,31447,46002,Up
0,27,26,53300,15832,2930,2017,2904,2683,1152,710,Up
0,17,30,30617,40667,7637,4550,2274,2202,1763,725,Up
0,10,37,827285,18782,5453,3813,2674,3225,2353,1461,Up
0,20,48,251703,29176,6703,10999,3776,3327,616,957,Up
0,17,48,665012,156903,14142,23741,17077,19279,8146,4830,Up
0,43,50,1716985,137147,46002,21507,40982,54685,21932,8978,Up
0,35,44,615696,133370,35400,3322,15440,11888,5466,6970,Up
0,44,50,2735848,215708,122008,132802,49833,61814,24828,14053,Up
0,27,54,691506,150003,51036,5287,9003,5010,1146,1801,Up
0,4,60,727834,79866,30811,11795,6731,4906,19663,4244,Up
0,7,66,581463,31194,8210,10713,4487,3458,8064,3843,Up
0,1,63,733451,90883,36832,29323,12337,8779,13049,7161,Up
0,1,61,193670,58583,13704,2559,2883,3082,1450,1759,Up
0,16,40,530223,146917,7328,7761,91226,19311,6956,8560,Up
0,10,26,968080,568855,25949,68161,19470,26590,13961,8993,Up
0,13,23,1292363,72953,34526,23928,43622,12156,39652,14477,Up
0,16,34,1580547,179272,104894,78005,76255,19332,11977,12353,Up
0,11,38,809819,1403346,122458,56800,332633,146613,91980,37316,Up
0,37,41,86242,99529,29042,14333,44396,36897,18685,6758,Up
0,38,26,853919,626763,55337,19262,39735,58161,32646,10315,Up
0,51,24,733540,74881,32688,52398,57080,23251,18682,2534,Up
0,61,41,972544,160464,129458,32559,127225,60244,33954,39346,Up
0,51,50,558716,244301,115047,21214,24578,45845,12145,14963,Up
0,54,50,1503423,91640,3506,9126,13349,10777,4181,3690,Up
0,48,37,253804,246718,36424,17003,21665,27932,8072,5312,Up
0,30,41,1327769,141725,85642,44837,25009,15165,13898,7962,Up
0,16,29,1757301,1145687,129207,62408,53566,55357,80057,28665,Up
0,8,40,1075784,218233,46046,21563,28350,15096,18812,6244,Up
0,13,44,815733,201672,62449,16234,18606,40709,17227,8705,Up
0,16,34,63003,49641,4537,8532,6959,4226,3445,1735,Up
0,30,34,781679,247648,15711,41379,53494,38503,23557,17834,Up
0,40,27,2390408,1181105,212840,63471,378217,155862,92372,40739,Up
0,35,14,94593,11529,721,646,2960,1093,2483,637,Up
0,30,21,3710990,692375,293753,53211,73219,57135,45561,27962,Up
0,23,16,30914,36440,2789,1620,7236,2663,3383,1244,Up
0,30,24,555704,35304,11137,5791,6951,9345,3177,1704,Up
0,27,21,1004741,277987,9254,7366,10022,21395,16383,12303,Up
0,30,10,458002,589188,45460,36640,19189,44712,24258,9470,Up
0,41,30,1701198,338191,298141,181921,68707,120407,65795,17276,Up
0,29,29,855809,443821,87476,46064,27757,46806,42151,8539,Up
0,26,30,1638427,360701,7824,18983,24428,24262,10039,13521,Up
0,29,41,728116,434334,98893,111155,30474,49029,34308,13685,Up
0,21,41,731698,97695,99063,16876,25428,16825,16503,4116,Up
0,26,44,684354,201557,84675,25618,28669,34636,17729,6864,Up
0,37,60,917565,197681,8906,59954,13697,35447,18658,11068,Up
0,34,54,644857,184530,30890,18178,13952,12714,7066,6365,Up
0,37,38,451287,137420,26124,3737,15534,15846,10943,8243,Up
0,41,38,782394,56251,21264,12982,31734,15074,11364,5602,Up
0,43,47,834634,26388,7674,13499,3181,6293,7810,4922,Up
0,57,43,1396941,97769,18563,7819,19925,22429,19037,5694,Up
0,63,53,2215740,164873,74684,61341,59944,45410,54949,40449,Up
0,61,56,1294841,1078203,452967,217736,106173,234975,154703,87758,Up
0,60,47,2116453,290317,20960,65352,60817,43330,15472,16024,Up
0,53,57,2202723,229889,76860,127858,88741,48997,31189,18659,Up
0,51,51,52779,87315,16038,9585,3871,14186,6758,1160,Up
0,51,54,326120,24671,13795,9593,3439,6742,3042,3304,Up
0,56,57,102794,44513,15133,6807,5888,11649,3148,1832,Up
0,56,54,427097,175907,66128,8584,5154,27617,10351,4322,None
0,56,48,827652,179092,15151,15299,12646,21672,19568,7403,None
0,50,51,1819159,119541,98183,45214,24898,25460,29794,11964,None
0,51,47,631200,180018,31588,19801,23932,38541,26137,7234,None
