Signal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Label
26,70,87,1257616,422472,51699,121748,36524,38543,8445,8089,
51,70,87,1006599,105694,61101,73202,21929,38187,10897,1854,
51,70,87,1350100,320721,67799,49631,31075,38658,13466,6128,
51,70,87,1769876,337774,84537,212965,46226,50506,22269,21282,Forward
51,70,87,780868,462330,121552,63731,78855,104163,120572,65789,Forward
51,70,87,290167,15273,4998,3961,4093,2409,2282,828,Forward
51,70,87,294274,40851,3060,8383,10940,10032,2218,2198,Forward
51,0,0,630703,78745,8483,14745,14173,12189,3021,6469,Forward
25,0,0,538411,41050,29437,30850,30619,8899,4436,6077,Forward
26,0,0,528974,113101,35521,56574,31119,25196,6853,3422,Forward
51,0,0,1328078,160786,57545,38829,50861,43383,4321,8415,Forward
26,0,0,387913,19225,9219,11324,15631,5969,2434,561,Forward
51,0,0,1699000,13481,20238,21270,52434,29864,33034,17115,Forward
51,0,0,739586,75501,55253,72284,75980,62453,9319,7169,
51,0,0,1140202,146017,42831,60442,63959,53757,5621,5465,Backward
51,0,0,1005095,68177,82852,103356,35808,20767,15144,18588,Backward
51,0,0,1041992,35311,86826,27122,57139,34906,11877,8744,Backward
51,0,0,590932,3503,10320,11372,22422,11464,4374,1762,Backward
26,0,0,1173006,96852,30489,44171,30550,26938,3343,5904,Backward
51,0,0,996574,137109,11978,40422,41131,20372,5646,3693,Backward
51,0,0,1298681,86020,12605,8662,12861,6358,4775,10805,Backward
51,0,0,1778914,70628,37872,64982,109014,63899,48207,20741,Backward
26,0,0,2034448,82664,91417,257366,271189,135104,53190,39990,Backward
51,0,0,604739,113224,26994,32462,35972,18833,9248,6971,
51,0,0,874387,72410,46673,81429,61584,47920,8796,6184,Left
51,0,0,861719,65865,80122,159336,101935,60691,23031,13132,Left
51,0,0,3401175,405913,135474,72738,73893,74364,62767,30659,Left
51,0,0,1225107,108454,37169,63713,29223,45046,22598,11080,Left
51,0,0,3505595,121969,35088,152836,31788,62171,53982,27448,Left
51,0,0,1688056,148145,74127,118485,149964,83897,83640,64001,Left
51,0,0,750111,105320,67364,10159,17855,14464,13197,7814,Left
51,0,0,889921,75652,45013,51708,154171,22470,13555,13622,Left
51,0,0,1536297,652090,130736,223438,376655,248291,65606,32909,Left
51,0,0,1193869,88303,48208,35256,33583,25344,18942,11142,Right
51,0,0,744080,660403,128137,131510,106868,70954,13683,10405,Right
26,0,0,251411,43143,15949,13372,16409,3674,3174,1069,Right
51,0,0,1599303,88633,22081,21873,34186,30322,15563,10280,Right
51,0,0,1748812,201581,93039,215697,208815,179412,26645,35095,Right
51,0,0,552352,41839,8359,52504,66423,23868,7843,5534,Right
51,0,0,1119271,65443,42482,30765,18506,20673,22269,10428,Right
51,0,0,770360,194120,6133,48523,32683,33264,12592,12625,Right
51,0,0,1856744,281201,90506,57236,111283,78586,64295,44641,Right
51,0,0,1186941,138558,9767,61639,28426,23034,19603,18680,Right
51,0,0,1099018,213242,16582,14482,36407,19135,20319,15122,
51,0,0,586481,85446,20858,30582,21635,20362,17016,11382,Up
51,0,0,546389,115926,47466,32910,23310,18322,18603,9952,Up
51,0,0,2340583,395715,94422,57642,60869,99317,82450,31895,Up
51,0,0,2080256,40954,92189,94559,130741,88919,80003,50241,Up
51,0,0,1735951,300008,224332,253139,94481,70948,115813,32651,Up
51,0,0,1261172,170376,20600,15886,28381,26415,12537,11501,Up
51,0,0,1465032,33735,29666,8899,18684,19498,19762,8421,Up
51,0,0,1375482,370370,18529,129005,162966,121170,79478,37404,Up
51,0,0,783291,55111,7635,28648,29169,20362,23159,13434,Up
51,0,0,1564466,600656,101688,59107,143656,84138,69332,32163,
51,0,0,1409166,80970,20205,30078,28122,18977,21857,11368,Down
51,0,0,3179454,220436,292926,121890,89802,115165,78785,57151,Down
51,0,0,505500,105659,21090,17239,45758,16558,16242,8491,Down
51,0,0,928035,156438,39540,23526,27640,17621,16181,6351,Down
51,0,0,1148784,73849,34732,25882,17061,21643,20228,6674,Down
51,0,0,1022209,71561,35669,38963,30325,18003,18825,12128,Down
51,0,0,3124984,313805,281989,110619,139400,129665,63925,54521,Down
51,0,0,989015,76092,56073,30909,30240,34377,21805,7619,Down
51,0,0,1655978,641912,87424,204389,79924,93982,84523,46324,Down
