signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,30,64,201379,65276,21777,6549,12555,7952,4079,2411,None
0,20,61,111842,32594,4354,5278,4868,5224,4288,4912,None
0,13,43,1175061,244397,3255,24753,27171,16908,25971,4754,None
0,23,54,785738,27269,13979,10364,9364,6723,4322,2969,None
0,30,53,605058,161488,44828,16289,27007,36987,12567,4357,Up
0,23,53,170560,70329,2440,14715,3411,5414,6125,2228,Up
0,41,48,646032,55349,1431,3009,12040,14602,3847,6213,Up
0,50,41,56304,21486,5219,5020,5902,8805,2337,4204,Up
0,44,35,1328994,135310,3240,22808,14971,19629,12403,3336,Up
0,54,35,1599333,103538,12893,18944,19762,19060,18596,7719,Up
0,37,44,645616,219255,33841,4091,12955,15357,5709,5898,Up
0,23,53,253332,47069,34554,8609,5559,9123,4282,1978,Up
0,17,50,70864,53715,1998,4598,5042,5622,4991,2173,Up
0,24,61,494975,13209,8446,10739,4224,7057,4772,2334,Up
0,34,75,613679,83639,44240,36739,17099,20341,10351,17042,Up
0,34,77,187811,36783,23366,19163,9962,7179,2139,3490,Up
0,29,80,1268987,402035,32047,35744,64100,31315,76806,21401,Up
0,17,69,775503,145835,43389,10416,17130,17974,16274,29236,Up
0,17,57,171599,95182,1625,22059,8708,14141,15642,9087,Up
0,26,56,722506,35490,21732,17317,15392,13393,4788,9381,Up
0,30,64,644798,322163,54952,95100,89955,47634,53056,43579,Up
0,29,61,1292370,196263,17911,35945,26804,21397,17411,7916,Up
0,44,64,1047022,118551,39372,10565,24907,62124,22715,5720,Up
0,57,61,609923,113193,63264,70780,81877,123223,70463,69908,Down
0,87,54,2896732,639397,122156,117802,133130,813887,445074,191642,Down
0,100,54,1566139,969665,191631,227417,70823,635949,117407,144867,Down
0,97,67,2106432,1439673,1540533,493233,204679,627764,769137,277711,Down
0,64,63,2422617,551106,119430,55917,18827,26795,28360,12067,Down
0,48,74,704469,170025,58392,87757,52002,68118,34545,23493,Down
0,56,74,1856886,821085,189643,383789,249545,1307763,349562,184952,Down
0,66,57,902456,122698,23429,15003,22144,60475,39777,10362,Down
0,94,63,259582,50230,19765,20860,15035,31990,28605,15763,Down
0,100,57,749634,53610,14444,20641,6673,52007,25374,5938,Down
0,93,56,1775933,493278,22176,108390,149014,180985,105312,57956,Down
0,97,69,2336494,166284,953748,142207,450713,669655,332647,144380,Down
0,88,57,1737357,946296,28656,122307,132856,199529,254431,59550,Down
0,75,56,917480,365251,52266,88621,32162,103001,71606,42178,Down
0,77,63,318681,98205,19189,31103,8879,51950,13006,19748,Down
0,56,48,968806,432003,40333,61966,30069,63584,19946,25679,Down
0,63,51,295534,300833,28002,49190,27642,112828,23187,27634,Down
0,77,53,1497077,1204281,196394,763420,406639,1278471,439786,438267,Down
0,87,54,1717568,41462,15159,41320,33200,68806,40325,19702,Down
0,91,51,465084,157914,2097,21823,9600,31707,10316,6264,Down
0,91,51,116112,36150,9347,641,1796,12841,2341,3321,None
0,74,51,1187275,321732,63698,51916,40204,60299,40302,22159,Up
