Signal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Label
51,0,0,758364,40121,29478,48496,18580,15133,22078,8253,
51,0,0,1606740,169635,95636,204970,95550,129756,74659,35356,
51,0,0,2471627,560966,512644,106485,105615,64877,64675,40552,
51,0,0,1627981,187446,284017,112806,77647,95860,60577,51807,
51,0,0,2576957,381199,162964,94086,101630,69299,66532,52556,Forward
51,0,0,817389,17274,14967,2529,17351,22764,16426,7002,Forward
51,0,0,2232401,285026,38850,51240,81391,72284,48138,21629,Forward
26,0,0,699740,34413,28206,27337,25526,24136,18928,10701,Forward
51,0,0,883123,14634,33118,15909,15783,19426,14080,9040,Forward
51,0,0,1374104,444437,159622,29424,120150,60810,84441,43309,Forward
51,0,0,598553,43717,35925,26606,33973,24074,20338,11616,Forward
51,0,0,905832,113337,56144,22001,32011,16314,15224,10190,Forward
51,0,0,1575354,227150,268272,68715,89272,95748,68654,39180,Forward
51,0,0,313381,167340,67773,6695,34692,18333,22967,10626,Forward
51,0,0,1320886,72967,22081,68969,41010,31838,19629,15726,Backward
51,0,0,674263,34169,10021,11098,30400,18445,14745,9879,Backward
51,0,0,2240886,258368,168587,33095,66229,80946,62333,28853,Backward
51,0,0,1010181,134393,75934,38242,14719,23457,29241,10168,Backward
51,0,0,1560013,379296,98380,45467,94912,143800,63210,28112,Backward
0,0,0,661300,58566,19929,30422,39070,19243,11753,13286,Backward
51,0,0,2048186,81706,75574,80651,88088,133199,89284,39109,Backward
51,0,0,1144962,28359,31995,26259,16083,18337,17307,11045,Backward
51,0,0,1770667,191953,52824,123102,95475,87152,83649,38540,Backward
51,0,0,2679811,209772,159227,78190,74572,71532,75778,46379,
