signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
26,0,0,1817281,323965,72122,201828,61208,91784,99142,37917,None
26,0,0,807911,306543,61733,157519,226700,151740,266323,59034,None
26,0,0,1497354,634731,83357,19282,59058,128658,39011,37522,None
26,0,0,676654,41712,30599,24077,8947,8953,6173,4904,Forward
0,0,0,798766,109408,50969,27776,32489,29058,32911,38373,Forward
26,0,0,1131554,196037,56456,48676,56490,104612,53187,36662,None
25,0,0,2179071,218024,63138,57352,22636,26672,19389,9007,None
51,0,0,248834,14091,195,11541,9656,5297,8075,4226,None
0,0,0,1185517,225322,22746,18879,139778,65781,46478,84188,None
0,50,88,79606,59098,18352,26270,18747,19991,32665,6150,None
0,30,81,1875874,1947884,928730,334165,340388,385305,300046,121422,Forward
0,24,83,254632,23743,10428,6966,5257,9673,6363,6427,Forward
0,11,84,345337,136001,41356,85593,35085,45595,18033,10456,Forward
0,10,77,689763,277803,56868,21162,34441,60072,40559,48539,Forward
0,24,67,2049363,1498276,113695,411473,349784,452775,163890,123336,Forward
0,10,61,1185693,1528144,207537,284546,110562,249705,177320,83250,Forward
0,20,48,620373,112293,12567,18517,29303,33915,41940,12423,Forward
26,20,48,1000563,70771,139398,23506,30949,34050,46319,28654,Forward
0,29,51,1461573,406235,95922,153641,365761,187285,134404,114237,Forward
26,29,51,2366241,294768,127085,26164,103336,63779,71619,17974,Forward
0,27,53,461950,272677,52794,46461,34733,72154,26117,27636,None
0,41,56,109220,38794,4956,20673,14170,13498,11479,2245,Backward
0,20,70,328379,790873,135347,597887,146082,136668,43598,85729,Backward
0,1,81,619668,158440,75776,66387,28406,23604,38477,44738,Backward
0,1,77,624451,999046,116877,126687,168188,205774,139242,175882,Backward
0,13,81,2075859,80086,55718,20634,29376,53525,50161,12405,Backward
0,35,74,1084718,212807,42863,61484,23868,70801,63589,30868,Backward
26,35,74,741579,19307,16925,60568,4419,20553,12580,8371,Backward
0,77,64,2134381,836611,343702,625944,613963,985291,625746,363094,Backward
0,61,63,741672,270950,25616,20166,67458,15695,20018,11896,Backward
0,50,57,1886327,274715,95008,52770,93805,63204,228860,45508,Left
0,35,64,1674524,1065921,334824,521293,216864,172834,161784,73783,Left
0,20,60,263684,87263,25018,7918,15427,28944,16946,5596,Left
0,41,66,111619,163980,8168,60699,105814,42306,26594,11320,Left
0,38,70,709310,154528,107470,9764,22264,39393,23329,23978,Left
0,48,66,752448,193467,67927,52279,66514,50955,26067,31213,Left
0,21,66,1142793,1011161,165859,114299,93292,62045,19483,18093,Left
0,17,67,1310120,1684905,177277,377116,265383,304434,148403,61437,Left
0,27,63,295425,200790,51631,67746,26165,74672,70426,21765,Left
0,24,74,499066,97262,112203,51095,63006,35033,24064,15407,Left
0,47,69,1084597,371732,42245,57345,65210,82277,42218,14799,Right
0,43,69,971033,132933,10699,27783,20531,18964,26331,21761,Right
0,35,77,381817,79330,56716,29033,23098,28627,7149,7650,Right
0,47,67,52092,20628,10778,4707,6989,9162,6329,1006,Right
0,51,77,276710,1129616,544637,33422,93605,457709,103651,39289,Right
0,61,64,550465,341024,21822,22676,56780,78778,37690,62973,Right
0,56,44,2801375,1161642,115941,92644,113643,150598,257537,86669,Right
0,47,38,2093980,803525,297522,28314,227551,164538,133086,116317,Right
0,40,51,2635077,310403,400363,280776,110536,172687,84847,47396,Right
0,37,81,139968,20448,9598,29193,10021,10265,12232,3513,Right
0,27,81,1291317,597618,42464,70679,121243,48062,68314,33839,None
0,29,70,611230,396584,37260,14389,10231,72751,25694,14346,Up
0,20,51,1298467,1047613,204401,66522,125302,126661,208242,65674,Up
0,16,35,353035,96499,24859,22252,58600,19242,15832,19285,Up
0,26,48,536515,31171,8913,6890,4641,5643,7095,1947,Up
0,30,37,673497,97105,2081,4370,18192,21151,11133,13299,Up
0,34,44,177188,27701,9031,13299,12123,5747,3954,3068,Up
0,35,48,641197,523934,124680,88432,50425,109121,68681,31510,Up
0,48,35,771956,923670,112951,72681,178193,310816,138788,36005,Up
0,43,69,348374,329113,297408,144501,146583,115357,37855,51884,Up
0,53,63,1166196,159029,21086,35713,8923,44904,36514,6489,Down
0,41,61,1410411,2923976,515768,459576,261824,305287,112947,110069,Down
0,26,70,733522,834169,222997,149431,179194,128472,103465,163036,Down
0,34,67,1008240,277151,203008,135409,160669,159552,303713,88623,Down
0,27,60,378828,1497555,160835,108873,157606,252508,216007,77383,Down
0,51,77,694222,131493,233473,53798,40420,119109,32131,28161,Down
0,57,81,1295369,484975,361572,59364,218993,135567,101848,94944,Down
0,53,67,842707,504457,118691,79450,386727,117160,70573,59950,Down
0,48,91,652026,82888,78123,26061,11500,21442,49048,13511,Down
0,51,80,336693,80855,33505,41400,45137,54785,44950,14751,Down
0,47,69,880351,604124,91483,112682,174205,91635,118128,48445,Down
0,37,77,1801143,905616,56061,293864,120045,129507,132043,50032,None
0,35,67,870570,434477,229970,28273,52092,67942,50967,33704,None
0,29,61,752889,169330,20361,56693,63609,62468,23767,8959,None
0,16,43,379022,283880,6285,10952,7202,9546,11224,10443,None
0,23,43,62417,122318,30701,10375,15228,16887,15960,5003,None
0,40,41,2260990,184654,116126,64008,145151,95815,82207,29438,None
0,48,53,955954,200323,138400,150911,44770,190699,93562,26053,None
