signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,64,26,839603,985006,335987,160361,249298,184020,105743,143767,None
26,64,26,554284,157492,5867,33459,27616,45809,9627,10441,None
0,47,24,1807103,1882592,355673,230063,174133,136597,133854,146398,Up
0,64,35,1229659,136904,35253,29484,43857,59408,24448,13791,Up
0,51,35,796705,1192162,223492,25160,129889,91801,73331,26901,Up
0,61,43,1613075,322836,250840,464955,310736,268685,104268,48739,Up
0,75,43,737997,920419,303526,13065,185563,168136,148911,41889,Up
0,67,30,1940241,923370,50483,75501,225841,218831,93114,98889,Up
26,67,30,2178770,1571829,232361,172798,130131,160908,192512,59202,Up
0,64,41,721104,139169,59891,65843,123760,16319,21819,12954,Up
0,51,27,224419,184774,32462,39637,59117,26567,43095,23319,Up
26,51,27,1508119,54554,23815,16547,57783,42960,19958,12965,Up
26,51,27,358146,84466,1766,11488,34071,74123,15974,14992,Up
0,64,30,331530,200994,48537,64129,55710,109037,23743,46093,Up
0,66,43,76777,235585,59730,47065,76768,67272,28420,18051,Up
0,75,43,1318326,353446,59598,144556,53544,59499,45124,15000,Up
0,78,53,1464771,1022695,432069,663013,416959,292013,251713,55608,Up
0,56,51,258085,336290,90956,28321,62624,31225,38041,13742,Up
0,53,60,1140424,347368,272145,116639,172419,128871,82759,103236,Up
0,56,57,3428392,1559849,699477,210016,456070,350868,455337,151325,Up
0,64,48,1406630,1286943,445066,75281,195600,389632,227520,115886,Up
26,64,48,896483,54969,62395,56424,13915,27019,16640,11682,Down
0,70,41,722406,143644,19170,9632,47510,20912,15314,16325,Down
0,69,40,1244426,60047,22322,19234,5174,16110,11010,4044,Down
0,60,44,184388,264422,132920,30117,26703,29488,12048,10261,Down
0,61,50,1848536,686367,278648,246400,226712,279663,179436,287338,Down
0,80,61,2016160,450206,157864,246128,148514,390579,100312,41389,Down
26,80,61,924530,239853,17894,36767,86125,33854,10736,17705,Down
26,80,61,1316662,98369,116750,59844,144118,82621,23354,38746,Down
0,84,51,1292130,306102,69021,48114,117938,91622,79263,16300,Down
26,84,51,2247374,495951,569183,787537,334250,541026,579912,127333,Down
0,100,61,907711,30665,98685,25465,25480,51089,16957,21557,Down
26,100,61,1469653,121682,92043,95487,26585,61550,83705,57887,Down
26,100,61,977048,565063,222393,136781,43004,90478,37380,37950,Down
0,100,54,228386,152140,53618,14319,57100,37891,44950,26550,Down
0,90,56,932130,318017,89392,114885,64235,90808,131500,71087,Down
26,90,56,730207,109726,101507,71309,261604,29272,41066,30413,Down
0,84,61,556987,115906,32975,29897,27753,28193,18826,18839,Down
0,84,37,22449,30978,3143,3890,7712,12708,5507,4560,Down
0,81,34,484091,1183810,92428,176217,168343,205616,173088,166623,Down
0,88,34,2359053,385317,172229,108473,115815,199432,106155,62162,None
0,91,47,790142,104274,300773,15553,72545,76662,51688,24231,Up
0,64,56,1733328,747214,124334,193493,135782,54459,32347,34422,Up
0,75,70,1658045,51098,19798,46732,17921,32039,15183,5957,Up
0,63,56,2987755,802018,83099,53779,278369,129685,117686,35891,Up
0,64,41,1476199,320203,53675,80095,63662,102347,38838,26967,Up
0,80,44,182582,74887,10631,43916,23526,17582,20738,12758,Up
0,80,41,124491,47693,31078,11927,8545,24797,18207,7420,Up
0,93,61,308775,45630,41537,21973,19725,36847,13398,15936,Up
0,93,64,987073,162387,50680,65754,33601,68911,33947,14313,Up
0,100,50,206536,186594,34991,4690,51287,68728,17955,13791,Up
0,100,50,1808612,1858969,1275718,530708,676636,686480,223748,225201,Up
26,100,50,262881,109738,145209,246904,48802,12509,14670,13420,Up
0,94,47,884170,137983,18643,105883,88246,59909,28732,13446,Up
26,94,47,1426003,449229,120227,16615,94586,89195,52800,58591,Up
0,94,43,1435111,171148,43483,36804,25704,63183,52755,21399,Up
26,94,43,1138687,1055888,253802,120250,124514,90664,41287,27497,Up
0,78,57,975650,1335448,377071,392015,106828,223491,226573,98502,Up
0,78,51,1158165,229897,66598,28220,33055,57500,14032,16828,Up
0,74,37,689130,253870,26812,19266,66458,45807,20908,18751,Up
0,75,30,111973,50968,1261,13281,10315,16611,8707,4603,Down
26,75,30,637977,35284,19255,16207,9781,11510,6123,3086,Down
26,75,30,259640,105557,39477,16911,8828,15405,2136,1983,Down
26,75,30,1342748,279690,37659,88264,68121,55952,54151,15580,Down
0,88,30,426498,180182,109392,15970,21754,81644,35438,8007,Down
0,83,41,378709,117021,39938,70938,11147,32407,15500,8077,Down
0,75,47,1710186,303179,37590,44628,66046,27378,48778,60590,Down
