Signal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Label
29,0,0,704432,235961,8903,46945,8656,16045,5801,3390,
29,0,0,319833,280764,33796,27571,8905,13617,5497,5362,
29,0,0,387838,64803,21264,8489,24452,7576,7780,2670,
29,0,0,266014,123309,16831,21825,52612,8806,6279,5573,
55,0,0,763939,32071,15110,15110,9418,6773,6772,2493,
55,0,0,520833,10327,4721,6829,7242,4155,1722,723,
29,0,0,154370,253555,27364,41070,15417,9785,9493,4249,Forward
29,0,0,1052816,68670,24326,33430,23496,12241,10750,6740,Forward
29,0,0,62293,33053,4223,7767,6419,4189,3778,1624,Forward
29,0,0,71788,10380,3411,3145,4832,4505,854,703,Forward
29,0,0,1221667,133243,10382,13967,28675,21266,18041,9267,Forward
29,0,0,1753628,357240,24156,117360,338045,75172,67666,57866,Forward
55,0,0,501007,26773,6464,1149,4702,3961,880,1338,Forward
29,0,0,781401,54742,29243,55001,24167,31616,9575,2795,Forward
29,0,0,430218,774386,177733,200428,217615,219749,31054,20404,Forward
29,0,0,191692,172436,47571,17511,23439,23919,17145,7048,Forward
55,0,0,2044298,184226,64934,99798,11686,37930,8341,15947,
29,0,0,1152464,115746,46519,40896,12823,12154,5873,9482,Backward
26,0,0,1403071,335236,76186,46969,71631,127304,109000,47990,Backward
25,0,0,143166,76505,83633,38144,12667,32231,12849,6188,Backward
51,0,0,719377,28999,10663,26054,18714,7859,2799,868,Backward
25,0,0,141803,163579,130541,34762,32376,30436,2895,1499,Backward
54,0,0,578588,234449,80412,46086,53355,55152,10076,7074,Backward
29,0,0,1033559,113498,21788,5309,22173,16373,8365,1728,Backward
29,0,0,1469118,40331,88369,56716,26061,21092,14524,5331,Backward
29,0,0,555523,110402,43495,11814,16498,21325,8733,6051,Backward
29,0,0,2282532,1626387,393915,1040907,459281,146948,52978,67203,Backward
29,0,0,1100117,117189,34543,50288,30364,17147,10282,7963,
0,48,91,187881,24583,7740,37115,35368,20663,5694,1682,
26,48,91,551540,16798,20327,11696,19000,14267,18290,23947,
0,40,84,446310,44998,825,8857,11826,10323,2015,1630,
0,30,61,117902,112156,25254,5920,17679,8626,2187,1387,Forward
0,34,56,179493,6875,5017,7282,10904,6469,1688,1142,Forward
0,30,44,189662,14531,1829,7444,13373,6376,1347,855,Forward
0,24,77,134441,16285,16474,12836,12301,4812,1394,578,Forward
0,30,97,95913,18261,12591,15586,12363,5135,2153,743,Forward
0,34,96,133473,7564,3155,10884,11925,7377,2027,775,Forward
0,27,88,285634,31572,1880,6959,11024,7590,1155,780,Forward
0,35,60,192960,34184,1799,6065,13929,7871,1268,998,Forward
0,29,63,106790,20126,27416,15527,11747,4666,1475,628,Forward
0,26,70,102222,5385,12870,9331,10011,6838,1073,787,Forward
0,41,67,369755,6530,1114,4400,16804,9920,1564,732,
0,50,75,176461,14581,813,7998,10333,9155,1318,1188,Backward
0,47,40,274903,80784,2511,9035,9265,5443,1582,735,Backward
0,47,38,157542,6064,7964,9336,9889,6024,2017,743,Backward
0,35,54,309214,13743,1427,13399,11864,7503,1055,495,Backward
0,41,47,210264,15758,2299,4508,13093,15863,3490,1483,Backward
0,38,48,212523,109495,8451,9060,10068,5191,1178,969,Backward
0,40,47,180400,5305,8893,8416,11108,7306,3501,681,Backward
0,43,47,202249,6918,3154,6435,12009,6871,1181,885,Backward
0,37,47,282457,24020,1954,5227,13668,10961,938,984,Backward
0,56,54,209023,22166,4787,5641,12388,9523,1012,997,
0,50,53,132034,14268,6123,13101,10153,5821,1537,852,Left
0,48,67,216813,3994,4404,16585,9140,9110,1600,930,Left
0,61,53,261275,7661,1151,4722,13181,10900,1139,1242,Up
0,53,57,135645,20823,12720,22543,11863,4932,1303,800,Up
0,50,61,169422,11065,7755,10976,12657,5053,1286,922,Up
0,43,66,286757,10413,4096,8572,15509,7575,1508,722,Up
0,41,63,249548,14144,696,5288,17358,12644,1442,732,Up
0,48,60,199174,11096,12713,9676,10890,5865,2000,1084,
0,54,66,244821,3338,5417,11666,8737,6075,2095,867,Down
0,60,51,317713,12643,645,3599,11307,8202,1234,929,Down
0,57,60,206496,10446,2911,4460,11454,10038,1578,1268,Down
0,51,63,143813,20883,14311,20721,11690,5395,1836,714,Down
0,44,56,96510,15620,11482,12729,11804,6185,1929,977,Down
0,37,81,197103,7128,5313,10395,11228,5271,1261,726,Down
0,35,83,169155,11915,3108,4817,11733,8844,1106,820,Down
0,35,53,264075,57096,3313,7414,11688,6352,1135,903,Down
0,34,64,135623,11720,24085,13037,11500,6769,1686,655,Down
0,40,61,214576,6158,7513,7295,11637,7949,1758,757,
