Signal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Label
0,34,64,135623,11720,24085,13037,11500,6769,1686,655,
0,40,61,214576,6158,7513,7295,11637,7949,1758,757,
0,26,100,3182980,130703,84366,97445,53788,61869,12146,13376,
0,38,74,161863,23554,381,6245,13259,8588,2501,872,
0,47,43,154063,33535,3207,7378,14634,14300,1415,998,
0,54,43,496094,32627,16622,19756,21079,16171,2406,1814,
0,51,41,1144291,98003,64281,36002,25452,32468,5818,3252,Forward
0,54,53,293241,7802,2591,7029,15810,7111,2101,780,Forward
0,57,60,251559,17404,1649,8836,12785,11779,1491,1107,Forward
0,48,70,130934,15452,18661,13162,10269,4757,1995,792,Forward
0,47,77,141213,11443,12121,14094,11160,5256,1940,836,Forward
0,41,81,305021,18461,4057,11308,12217,8689,1396,488,Forward
0,43,88,273387,12689,4325,9849,11626,12449,1819,1046,Forward
0,44,91,204772,9974,8194,26691,11949,5894,2063,670,Forward
0,63,83,266707,1710,4554,4803,11509,6831,1317,911,Forward
0,66,83,171487,9744,6562,7083,12206,7789,1479,806,Forward
0,66,78,267177,13764,1281,8986,12750,10716,1502,809,Backward
0,77,56,235601,30780,8022,8787,13376,14234,1305,713,Backward
0,57,63,120272,15066,12938,12348,9521,4794,1959,742,Backward
0,53,67,240563,10148,7688,12343,13625,6951,1034,790,Backward
0,48,66,122843,16961,2491,7029,13824,7316,1491,1641,Backward
0,53,63,244846,16358,740,8818,11706,12855,1486,798,Backward
0,69,43,284804,20084,4126,6157,14599,14925,1138,1570,Backward
0,75,48,190101,4402,13697,8240,12427,8352,2308,803,Backward
0,80,57,148003,3610,3283,7561,10811,7540,2478,766,Backward
0,83,51,192463,17440,1413,5599,13930,15115,2916,1299,
