signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,50,63,2133387,66261,49801,39816,85539,19287,25116,5562,None
0,57,24,1963274,280221,19714,8092,15389,49913,22190,17605,None
0,40,24,1417104,203924,38781,25375,13129,14228,16011,5975,Up
0,37,35,167123,58340,12378,5613,6074,6395,6606,3034,Up
0,41,40,819441,88823,93575,7215,20955,33318,22558,8764,Up
0,48,60,1547612,405173,204865,76318,142054,216602,86597,153846,Up
0,51,81,1484266,27063,48502,7368,5199,5439,4272,4739,Up
0,51,88,1741011,155822,29761,40790,14059,18303,9801,10870,Up
0,40,78,149075,146269,25288,32152,9767,14021,5265,8543,Up
0,29,81,1504271,89269,49647,15080,16435,18544,15147,7986,Up
0,44,57,398207,138981,27286,18655,8192,47385,41903,12046,Up
0,56,74,507518,29845,43870,29205,6494,22678,35520,6437,Up
0,63,84,294879,16969,15031,2576,2572,4526,4763,5305,Up
0,61,67,402130,31525,1594,4413,3800,4382,5178,4608,Up
0,34,66,123392,58381,11139,3210,5129,1363,2743,5162,Up
0,14,61,1172428,164979,106323,37266,12468,12659,9266,13798,Up
0,10,38,1992626,345131,21710,41596,73995,35350,103005,71991,Up
0,1,35,95023,33199,2647,1036,1491,1276,4066,1999,None
0,8,29,158085,39865,1147,5760,914,2528,4602,2126,Down
0,20,20,644709,129068,31410,35895,36827,24235,46713,19320,Down
0,14,11,323619,24134,402,1607,2054,1487,1006,2264,Down
0,43,37,2124224,13705,4252,33271,17660,22102,9942,18448,Down
0,44,24,987507,141143,1992,3438,3773,8343,6137,5674,Down
0,47,40,375200,66245,114045,26447,13918,30692,47292,29478,Down
0,61,61,104160,37745,11947,5757,6150,12741,4449,5320,Down
0,47,54,243861,8205,1714,1645,927,1140,2273,1792,Down
0,66,66,537557,17499,747,2731,9970,9166,4037,3276,Down
0,84,60,83749,5354,17506,12782,8598,26214,58220,16494,Down
0,87,66,1103900,480699,321648,193265,139134,294000,65105,84981,Down
25,87,66,1926566,1946099,58984,116371,24042,62548,51132,21119,Down
0,97,74,1511169,22946,12729,15840,8503,13883,6089,1915,Down
0,75,88,1394585,247670,31558,75686,10278,17822,14993,7669,Down
0,47,87,1259094,533633,365343,47413,125007,46345,44143,11484,None
0,30,75,519456,400717,21479,74593,7572,36828,12909,6197,Down
0,27,74,176283,95844,52208,33334,19939,43706,44206,20695,Down
0,34,64,740521,100888,16251,4629,8648,9995,5900,4600,Down
0,56,70,66351,13100,14902,18348,2175,16880,22454,5361,Up
0,56,74,618217,62681,7535,9220,4286,5744,11824,5039,Up
0,41,47,244053,179127,8307,1619,8361,9883,5835,6550,Up
0,38,40,124666,36741,3245,583,3199,2395,1116,1219,Up
0,30,24,249359,37283,8764,4733,2860,11896,6448,9564,Up
0,51,29,875979,54987,20016,32804,10473,49234,27608,15421,Up
0,78,61,1991,2474,7156,1780,1145,6727,6941,4915,Up
0,88,70,139560,87626,15447,12808,5504,16663,7570,1785,Up
0,80,67,278637,47090,3324,7363,7275,6568,8290,6946,Up
0,66,63,782026,288739,38446,63890,33264,49932,71802,34766,Up
0,47,54,1233130,533434,182662,100317,175699,75334,239400,114282,Up
0,41,63,1874787,939961,482535,262885,110933,142975,460566,128906,Up
0,44,77,1811780,701703,135529,395858,63676,204720,309199,43000,Down
0,60,80,1602910,29699,13328,6460,2594,27454,16523,5453,Down
0,75,70,368224,35620,7084,2531,1924,17204,5931,4757,Down
0,78,63,382793,40081,9532,5236,3719,6523,4057,3669,Down
0,84,56,2719865,63565,21607,11045,5018,26063,4389,3855,Down
0,69,56,207729,82626,9365,25614,10088,15363,10898,4795,Down
0,48,56,653834,61682,5977,6672,2879,4195,2357,2153,Down
0,61,61,643470,16930,21684,2142,20002,14357,14581,5193,Down
0,37,53,2013997,839252,83944,54937,12510,26591,32471,10388,Down
0,41,44,135224,6359,330,1244,1425,1841,2009,1374,Down
0,51,53,65560,18532,5431,7061,10174,5116,2474,293,None
